id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veiculos,latitude,longitude,regional,delegacia,uop
114790,28/02/18,quarta-feira,14:15:00,PB,230,5,CABEDELO,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Pleno dia,Crescente,Chuva,Dupla,Reta,Não,2,0,0,1,1,0,1,1,"-7,03138678","-34,84107971",SR-PB,DEL14/1,UOP00/PB
114876,28/02/18,quarta-feira,16:00:00,PB,230,304,SANTA LUZIA,Velocidade Incompatível,Capotamento,Com Vítimas Fatais,Pleno dia,Crescente,Nublado,Simples,Reta,Não,1,1,0,0,0,0,0,1,"-6,910833","-37,013056",SR-PB,DEL14/3,UOP01/PB
114880,28/02/18,quarta-feira,21:25:00,PB,101,"88,5",JOÃO PESSOA,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Dupla,Reta,Sim,3,0,2,1,0,0,3,1,"-7,169921","-34,897323",SR-PB,DEL14/1,UOP00/PB
114885,28/02/18,quarta-feira,18:45:00,PB,104,"72,2",REMÍGIO,Pista Escorregadia,Capotamento,Com Vítimas Feridas,Plena Noite,Decrescente,Chuva,Simples,Reta,Não,1,0,0,1,0,0,1,1,"-6,891337","-35,901931",SR-PB,DEL14/2,UOP04/PB
114888,28/02/18,quarta-feira,19:20:00,PB,230,"323,8",QUIXABA,Fenômenos da Natureza,Colisão traseira,Com Vítimas Feridas,Plena Noite,Crescente,Chuva,Simples,Reta,Não,2,0,1,0,1,0,1,2,"-6,9823","-37,1718",SR-PB,DEL14/3,UOP01/PB
117773,28/02/18,quarta-feira,07:20:00,PB,230,"18,5",JOÃO PESSOA,Não guardar distância de segurança,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,1198","-34,8453",SR-PB,DEL14/1,UOP00/PB
114927,01/03/18,quinta-feira,07:00:00,PB,230,"329,9",QUIXABA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Não Informado,Não,2,0,0,1,1,0,1,2,"-7,0153460503","-37,2216567993",SR-PB,DEL14/3,UOP01/PB
114962,01/03/18,quinta-feira,09:20:00,PB,230,"165,6",CAMPINA GRANDE,Falta de Atenção à Condução,Colisão com objeto estático,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Rotatória,Sim,1,0,0,0,1,0,0,1,"-7,20717544","-35,95481873",SR-PB,DEL14/2,UOP02/PB
114982,01/03/18,quinta-feira,13:10:00,PB,230,"64,5",SÃO MIGUEL DE TAIPU,Defeito na Via,Saída de leito carroçável,Sem Vítimas,Pleno dia,Crescente,Chuva,Dupla,Não Informado,Não,2,0,0,0,2,0,0,1,"-7,1944","-35,1754",SR-PB,DEL14/1,UOP02/PB
115007,01/03/18,quinta-feira,13:20:00,PB,104,"170,7",BARRA DE SANTANA,Agressão Externa,Capotamento,Sem Vítimas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,0,0,1,0,0,1,"-7,58032779","-36,01593018",SR-PB,DEL14/2,UOP03/PB
115042,01/03/18,quinta-feira,16:45:00,PB,230,"48,9",SANTA RITA,Defeito na Via,Saída de leito carroçável,Sem Vítimas,Pleno dia,Decrescente,Chuva,Dupla,Retorno Regulamentado,Não,1,0,0,0,1,0,0,1,"-7,174","-35,0397",SR-PB,DEL14/1,UOP02/PB
115047,01/03/18,quinta-feira,17:25:00,PB,230,"44,5",SANTA RITA,Velocidade Incompatível,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Dupla,Reta,Não,2,0,2,0,0,0,2,1,"-7,1531","-35,0102",SR-PB,DEL14/1,UOP02/PB
115086,01/03/18,quinta-feira,19:30:00,PB,230,147,CAMPINA GRANDE,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Dupla,Rotatória,Sim,2,0,0,0,2,0,0,2,"-7,2299841","-35,8661521",SR-PB,DEL14/2,UOP01/PB
115105,01/03/18,quinta-feira,22:15:00,PB,101,"101,2",ALHANDRA,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Crescente,Nublado,Dupla,Reta,Não,2,0,2,0,0,0,2,1,"-7,274041","-34,938256",SR-PB,DEL14/1,UOP01/PB
119621,01/03/18,quinta-feira,09:15:00,PB,104,"117,2",LAGOA SECA,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Não,2,0,0,0,2,0,0,2,"-7,2001134","-35,8669281",SR-PB,DEL14/2,UOP04/PB
115182,02/03/18,sexta-feira,09:30:00,PB,230,"172,9",CAMPINA GRANDE,Ultrapassagem Indevida,Tombamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Desvio Temporário,Não,3,0,0,1,1,1,1,2,"-7,18128833","-36,00631714",SR-PB,DEL14/2,UOP02/PB
115197,02/03/18,sexta-feira,10:00:00,PB,230,"91,8",GURINHÉM,Desobediência às normas de trânsito pelo condutor,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Reta,Não,4,0,2,0,2,0,2,2,"-7,18325639","-35,4296303",SR-PB,DEL14/1,UOP02/PB
115205,02/03/18,sexta-feira,11:15:00,PB,101,83,BAYEUX,Não guardar distância de segurança,Colisão traseira,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Viaduto,Sim,9,0,4,0,5,0,4,6,"-7,1366","-34,9264",SR-PB,DEL14/1,UOP00/PB
115211,02/03/18,sexta-feira,11:21:00,PB,101,"79,7",SANTA RITA,Pista Escorregadia,Saída de leito carroçável,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Dupla,Curva,Sim,1,0,1,0,0,0,1,1,"-7,116498","-34,951044",SR-PB,DEL14/1,UOP00/PB
115247,02/03/18,sexta-feira,14:45:00,PB,230,31,JOÃO PESSOA,Condutor Dormindo,Colisão traseira,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,1549","-34,9077",SR-PB,DEL14/1,UOP00/PB
