id,data_inversa,dia_semana,horário,uf,br,km,município,causa_acidente,tipo_acidente,classificacao_acidente,fase_dia,sentido_via,condicao_metereologica,tipo_pista,tracado_via,uso_solo,pessoas,mortos,feridos_leves,feridos_graves,ilesos,ignorados,feridos,veículos,latitude,longitude,regional,delegacia,uop
204895,21/04/19,domingo,23:00:00,PB,230,363,MALTA,Ingestão de Substâncias Psicoativas,Tombamento,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Simples,Reta,Não,1,0,1,0,0,0,1,1,"-6,9139","-37,4885",SR-PB,DEL14/3,UOP02/PB
204877,22/04/19,segunda-feira,06:50:00,PB,405,33,SÃO JOÃO DO RIO DO PEIXE,Falta de Atenção à Condução,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Simples,Reta,Sim,1,0,0,1,0,0,1,1,"-6,728078","-38,44848",SR-PB,DEL14/3,UOP03/PB
205017,22/04/19,segunda-feira,17:40:00,PB,361,"4,9",PATOS,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Anoitecer,Decrescente,Vento,Simples,Interseção de vias,Sim,4,0,0,1,3,0,1,3,"-7,034263","-37,30157",SR-PB,DEL14/3,UOP01/PB
205023,22/04/19,segunda-feira,19:10:00,PB,230,"377,3",CONDADO,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,3,0,0,2,1,0,2,2,"-6,912731","-37,61321",SR-PB,DEL14/3,UOP02/PB
205066,22/04/19,segunda-feira,22:15:00,PB,230,"2,8",CABEDELO,Falta de Atenção à Condução,Colisão traseira,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Reta,Sim,3,0,1,1,0,1,2,2,"-6,9837","-34,8295",SR-PB,DEL14/1,UOP01/PB
205126,23/04/19,terça-feira,08:45:00,PB,230,"19,1",JOÃO PESSOA,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Curva,Sim,2,0,1,0,0,1,1,2,"-7,1281","-34,8466",SR-PB,DEL14/1,UOP01/PB
205130,23/04/19,terça-feira,10:00:00,PB,101,"110,8",ALHANDRA,Desobediência às normas de trânsito pelo condutor,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Não Informado,Sim,3,0,1,0,1,1,1,3,"-7,352556","-34,94941",SR-PB,DEL14/1,UOP01/PB
205170,23/04/19,terça-feira,16:45:00,PB,101,92,JOÃO PESSOA,Falta de Atenção do Pedestre,Atropelamento de Pedestre,Com Vítimas Feridas,Anoitecer,Crescente,Céu Claro,Dupla,Não Informado,Sim,2,0,0,1,1,0,1,1,"-7,196838","-34,90588",SR-PB,DEL14/1,UOP01/PB
205226,23/04/19,terça-feira,23:15:00,PB,104,"133,9",QUEIMADAS,Desobediência às normas de trânsito pelo condutor,Colisão com objeto estático,Sem Vítimas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,1,0,0,0,0,1,0,1,"-7,316748","-35,89501",SR-PB,DEL14/2,UOP03/PB
205280,24/04/19,quarta-feira,09:05:00,PB,230,"27,6",JOÃO PESSOA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Decrescente,Sol,Dupla,Não Informado,Sim,2,0,1,0,1,0,1,2,"-7,1677","-34,8855",SR-PB,DEL14/1,UOP01/PB
205281,24/04/19,quarta-feira,08:25:00,PB,104,141,QUEIMADAS,Velocidade Incompatível,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Céu Claro,Simples,Reta,Sim,3,0,1,1,1,0,2,2,"-7,386952","-35,89595",SR-PB,DEL14/2,UOP03/PB
205389,24/04/19,quarta-feira,21:40:00,PB,230,"41,8",SANTA RITA,Velocidade Incompatível,Saída de leito carroçável,Com Vítimas Feridas,Plena Noite,Decrescente,Céu Claro,Dupla,Desvio Temporário,Não,1,0,0,1,0,0,1,1,"-7,1432","-34,9869",SR-PB,DEL14/1,UOP02/PB
205395,24/04/19,quarta-feira,21:28:00,PB,101,119,CAAPORA,Falta de Atenção à Condução,Colisão traseira,Sem Vítimas,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,Não,2,0,0,0,1,1,0,2,"-7,428978","-34,96673",SR-PB,DEL14/1,UOP01/PB
232932,24/04/19,quarta-feira,20:00:00,PB,104,"98,5",ESPERANÇA,Desobediência às normas de trânsito pelo condutor,Colisão transversal,Com Vítimas Feridas,Plena Noite,Crescente,Céu Claro,Simples,Reta,Não,4,0,1,1,2,0,2,2,"-7,028032","-35,85657",SR-PB,DEL14/2,UOP04/PB
205421,25/04/19,quinta-feira,04:40:00,PB,230,"64,5",CRUZ DO ESPÍRITO SANTO,Defeito Mecânico no Veículo,Capotamento,Sem Vítimas,Amanhecer,Decrescente,Céu Claro,Dupla,Não Informado,Não,1,0,0,0,1,0,0,1,"-7,1944","-35,1754",SR-PB,DEL14/1,UOP02/PB
205441,25/04/19,quinta-feira,07:50:00,PB,230,25,JOÃO PESSOA,Não guardar distância de segurança,Tombamento,Com Vítimas Feridas,Pleno dia,Decrescente,Chuva,Múltipla,Não Informado,Sim,1,0,0,1,0,0,1,1,"-7,1707","-34,8684",SR-PB,DEL14/1,UOP01/PB
205478,25/04/19,quinta-feira,11:20:00,PB,104,177,ALCANTIL,Falta de Atenção à Condução,Capotamento,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Simples,Curva,Não,1,0,1,0,0,0,1,1,"-7,621958","-36,07712",SR-PB,DEL14/2,UOP03/PB
205515,25/04/19,quinta-feira,17:00:00,PB,230,"246,6",JUAZEIRINHO,Falta de Atenção à Condução,Saída de leito carroçável,Com Vítimas Feridas,Anoitecer,Crescente,Chuva,Simples,Reta,Não,1,0,0,1,0,0,1,1,"-7,0726","-36,6178",SR-PB,DEL14/2,UOP02/PB
205600,26/04/19,sexta-feira,01:50:00,PB,230,"117,5",INGÁ,Velocidade Incompatível,Colisão com objeto estático,Com Vítimas Fatais,Plena Noite,Decrescente,Céu Claro,Dupla,Não Informado,Não,1,1,0,0,0,0,0,1,"-7,241001","-35,62221",SR-PB,DEL14/2,UOP01/PB
205625,26/04/19,sexta-feira,07:10:00,PB,230,"11,2",CABEDELO,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Decrescente,Nublado,Dupla,Interseção de vias,Sim,3,0,2,0,1,0,2,2,"-7,0596","-34,8506",SR-PB,DEL14/1,UOP01/PB
205647,26/04/19,sexta-feira,11:10:00,PB,101,90,JOÃO PESSOA,Falta de Atenção à Condução,Colisão lateral,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,3,0,2,0,1,0,2,2,"-7,179652","-34,90042",SR-PB,DEL14/1,UOP01/PB
205656,26/04/19,sexta-feira,12:42:00,PB,101,"90,5",JOÃO PESSOA,Falta de Atenção à Condução,Colisão transversal,Com Vítimas Feridas,Pleno dia,Crescente,Céu Claro,Dupla,Reta,Sim,2,0,1,0,1,0,1,2,"-7,179652","-34,90042",SR-PB,DEL14/1,UOP01/PB
